bc/epoch_num,dagger/round_timestep_count,rollout/return_mean,rollout/return_max,dagger/total_timesteps,dagger/round_episode_count,rollout/success_min,dagger/mean_episode_reward,dagger/total_expert_count,bc/entropy,rollout/return_std,bc/ent_loss,bc/samples_so_far,rollout/success_max,dagger/round_num,bc/loss,bc/neglogp,bc/batch_num,rollout/success_std,bc/l2_norm,dagger/mean_episode_success,bc/prob_true_act,rollout/return_min,rollout/success_mean,batch_size,bc/l2_loss
0,,3146.5864990234377,8786.137092590332,,,0.0,,,-2.1519980430603027,6904.0583649763885,0.0021519982255995274,16032,1.0,,-3.328078031539917,-3.3302299976348877,501,0.4,4658.82568359375,,47.58592987060547,-9555.419624328613,0.8,32,0.0
1,,7853.383959960937,8591.644172668457,,,1.0,,,-2.6038012504577637,1079.6656667308073,0.0026038014329969883,32032,1.0,,-3.946274995803833,-3.948878765106201,1001,0.0,4756.7421875,,72.60824584960938,5724.729446411133,1.0,32,0.0
2,,8112.545040893555,8587.138931274414,,,1.0,,,-3.0785436630249023,506.4421539088662,0.0030785438138991594,48032,1.0,,-4.699080944061279,-4.702159404754639,1501,0.0,4856.40234375,,146.56491088867188,7211.165657043457,1.0,32,0.0
3,,8154.884341430664,8587.353126525879,,,1.0,,,-3.4540843963623047,567.1394653256776,0.0034540845081210136,64032,1.0,,-5.121229648590088,-5.124683856964111,2001,0.0,4972.72900390625,,212.71640014648438,7031.507438659668,1.0,32,0.0
3,,7395.102407836914,8090.512977600098,,,1.0,,,-3.406759738922119,782.3671437616525,0.0034067598171532154,80032,1.0,,-2.606891632080078,-2.6102983951568604,2501,0.0,5154.8583984375,,142.27369689941406,6208.900779724121,1.0,32,0.0
0,119,8188.618051147461,8387.3247756958,935,6,1.0,5114.833984375,109,-3.1780476570129395,127.22590357566601,0.003178047714754939,32,1.0,7,-4.189033031463623,-4.192211151123047,1,0.0,5224.42822265625,0.8333333333333333,118.76011657714844,7985.072776794434,1.0,32,0.0
0,,8010.589758300781,8392.31623840332,,,1.0,,,-2.3247032165527344,476.8366785401005,0.0023247033823281527,16032,1.0,,-2.727285146713257,-2.729609966278076,501,0.0,5441.71240234375,,49.426307678222656,7103.866874694824,1.0,32,0.0
1,,7806.8916687011715,8388.613815307617,,,1.0,,,-2.545910358428955,436.93186766685193,0.00254591042175889,32032,1.0,,-3.0237038135528564,-3.026249647140503,1001,0.0,5562.16845703125,,65.73159790039062,7196.480796813965,1.0,32,0.0
1,,8071.033625793457,8191.989585876465,,,1.0,,,-2.812181234359741,154.26440008095344,0.002812181366607547,48032,1.0,,-2.677201986312866,-2.680014133453369,1501,0.0,5678.56591796875,,61.98151397705078,7803.054267883301,1.0,32,0.0
2,,8091.756161499024,8196.32974243164,,,1.0,,,-3.072460651397705,199.67660234567936,0.0030724608805030584,64032,1.0,,-3.7335386276245117,-3.7366111278533936,2001,0.0,5810.59130859375,,115.55905151367188,7692.454696655273,1.0,32,0.0
3,,7576.277519226074,8393.514099121094,,,1.0,,,-3.3538691997528076,758.8266457125524,0.0033538693096488714,80032,1.0,,-4.5844035148620605,-4.587757587432861,2501,0.0,5943.212890625,,166.15921020507812,6637.9636154174805,1.0,32,0.0
3,,8029.65043182373,8589.113594055176,,,1.0,,,-2.9632513523101807,344.272820507616,0.0029632514342665672,96032,1.0,,-4.106696128845215,-4.109659194946289,3001,0.0,6159.85302734375,,99.66769409179688,7591.526313781738,1.0,32,0.0
0,103,4650.648892211914,8590.204978942871,1038,8,0.0,8215.975341796875,109,-2.9633536338806152,7332.73008239966,0.002963353879749775,32,1.0,8,-0.43452543020248413,-0.4374887943267822,1,0.4000000000000001,6161.6103515625,1.0,97.49432373046875,-10000.0,0.8,32,0.0
0,,4440.1586837768555,8592.776336669922,,,0.0,,,-2.332455635070801,7257.014860649288,0.002332455711439252,16032,1.0,,-0.9577473402023315,-0.9600797891616821,501,0.4000000000000001,6334.75439453125,,44.77729797363281,-10000.0,0.8,32,0.0
