rollout/return_max,rollout/success_max,dagger/round_episode_count,dagger/total_timesteps,rollout/return_min,dagger/mean_episode_success,dagger/round_timestep_count,dagger/total_expert_count,rollout/success_mean,rollout/return_mean,batch_size,bc/prob_true_act,rollout/success_min,bc/ent_loss,bc/l2_norm,bc/samples_so_far,rollout/return_std,bc/batch_num,bc/l2_loss,bc/neglogp,dagger/round_num,dagger/mean_episode_reward,rollout/success_std,bc/entropy,bc/epoch_num,bc/loss
6993.142112731934,1.0,9,1479,-10000.0,1.0,135,827,0.2,-6557.740953445435,128,0.030987389385700226,0.0,-0.005925298202782869,1035.1351318359375,128,5869.342692931479,1,0.0,3.4865872859954834,10,7847.816243489584,0.4000000000000001,5.925297737121582,0,3.4806618690490723
6386.449935913086,1.0,9,1608,-10000.0,1.0,129,854,0.2,-6676.986382293701,128,0.03993239626288414,0.0,-0.0056903469376266,1051.1927490234375,128,5551.135812950572,1,0.0,3.2255330085754395,11,7997.828830295138,0.4000000000000001,5.690346717834473,0,3.2198426723480225
7884.7590255737305,1.0,8,1752,-10000.0,1.0,144,910,0.5,-2213.176795578003,128,0.050400350242853165,0.0,-0.0054359943605959415,1066.15380859375,128,7480.7174223277225,1,0.0,3.0632712841033936,12,7315.226196289063,0.5,5.4359941482543945,0,3.057835340499878
7381.070999145508,1.0,8,1886,-10000.0,1.0,134,933,0.7,680.3336730957031,128,0.06705435365438461,0.0,-0.005165464244782925,1091.8583984375,128,6672.875297883435,1,0.0,2.704680919647217,13,7508.563781738281,0.45825756949558394,5.165463924407959,0,2.6995153427124023
7991.433158874512,1.0,6,2018,-10000.0,1.0,132,967,0.65,482.54199714660643,128,0.08889365196228027,0.0,-0.004872570279985666,1104.0562744140625,128,7515.87889949516,1,0.0,2.5264148712158203,14,6470.933186848958,0.4769696007084729,4.872570037841797,0,2.5215423107147217
7893.483184814453,1.0,8,2191,-9802.176658630371,1.0,173,1009,0.5,-1799.169648361206,128,0.12083825469017029,0.0,-0.004563475027680397,1126.3184814453125,128,7592.041540938421,1,0.0,2.122685432434082,15,6528.6097412109375,0.5,4.563474655151367,0,2.118121862411499
7883.836822509766,1.0,6,2319,-10000.0,1.0,128,1021,0.85,4235.845017242432,128,0.17390909790992737,0.0,-0.004213350359350443,1146.5618896484375,128,6063.020158329059,1,0.0,1.7549190521240234,16,6546.102783203125,0.3570714214271425,4.213350296020508,0,1.7507057189941406
8383.996086120605,1.0,9,2455,-10000.0,1.0,136,1057,0.6,159.01471328735352,128,0.2548721432685852,0.0,-0.003841565689072013,1159.3636474609375,128,8134.117782583251,1,0.0,1.371253252029419,17,7811.054904513889,0.48989794855663565,3.8415656089782715,0,1.367411732673645
7988.470672607422,1.0,8,2605,-10000.0,1.0,150,1095,0.9,4278.2851871490475,128,0.37104105949401855,0.0,-0.003455053549259901,1191.043212890625,128,5005.269814503511,1,0.0,0.9922150373458862,18,7229.087097167968,0.30000000000000004,3.4550533294677734,0,0.9887599945068359
8088.154838562012,1.0,7,2733,-10000.0,1.0,128,1108,0.85,3993.658888244629,128,0.5491770505905151,0.0,-0.0030557068530470133,1243.404052734375,128,5951.658324048811,1,0.0,0.603023111820221,19,7355.889857700893,0.3570714214271425,3.055706739425659,0,0.5999674201011658
8188.545394897461,1.0,11,2878,-9555.93325805664,1.0,145,1135,0.95,5847.528961181641,128,0.8497681021690369,0.0,-0.0026303373742848635,1273.3026123046875,128,3881.6221789381316,1,0.0,0.1633472740650177,20,8220.778542258522,0.21794494717703372,2.6303372383117676,0,0.1607169359922409
8199.670585632324,1.0,8,3011,-10000.0,1.0,133,1150,0.85,3882.4493453979494,128,1.2950167655944824,0.0,-0.002186310477554798,1305.2083740234375,128,6004.226339807317,1,0.0,-0.1906767636537552,21,7573.46649169922,0.3570714214271425,2.186310291290283,0,-0.1928630769252777
